,Отметка времени,Асгард [.],Видео [.],Бизнесс аппс [.],Мобильный приложение  [.],Железо [.],Серийный номер,Тип устройства,Другое,Вопрос без заголовка [Ряд 2],Вопрос без заголовка [Ряд 3],counter
0,2024-05-14 10:36:44,,Прошивка камеры,,,,2330153150,Домофон,,,,0
1,2024-05-14 10:36:55,,Прошивка камеры,,,,2330153339,Домофон,,,,0
2,2024-05-14 10:37:40,,Архивы (с подпунктами),,,,2018200027,Домофон,"Не шел архив, синхрон",,,0
3,2024-05-14 10:38:31,,Архивы (с подпунктами),,,,2235145454,Домофон,Нет архива от партнера,,,0
4,2024-05-14 10:38:48,,,,,Оффлайн,2108118798,Домофон,,,,0
5,2024-05-14 10:39:05,,Нет видео,,,,2235143370,Домофон,,,,0
6,2024-05-14 10:39:34,,,,Оплата подписки,,2329250486,Домофон,"не прошла оплата, повторная привязка карты",,,0
7,2024-05-14 10:39:53,,Нет видео,,,,1921100319,Домофон,Подтолкнул поток ,,,0
8,2024-05-14 10:40:07,,,,,Оффлайн,1944104979,Домофон,,,,0
9,2024-05-14 10:40:30,,,,Прочие,,2125129138,Домофон,Удаление акка,,,0
10,2024-05-14 10:40:42,,,,Оплата подписки,,2012105982,Домофон,,,,0
11,2024-05-14 10:42:56,,,,,,2121123293,Домофон,Заказать ключ,,,0
12,2024-05-14 10:43:59,,,,,,2348251320,Домофон,Приобрести ключ,,,0
13,2024-05-14 10:44:25,,,,,,2235142812,Домофон,Приобрести ключ,,,0
14,2024-05-14 10:46:06,,,,,,2108117819,Домофон,"Не работает кнопка с цифрой ""2"" и механизм самозакрывания двери не дотягивает дверь и та не закрывается электромагнитом",,,0
15,2024-05-14 10:46:57,,,,,,2121123493,Камера,Загрязнение на камере,,,0
16,2024-05-14 10:47:33,Оффлайн,,,,,1944103047,Домофон,,,,0
17,2024-05-14 10:48:03,,,,,,2401155097,Домофон,Вопрос по оплате за домофон и уточнение лицевого счета,,,0
18,2024-05-14 10:48:48,,,,,,2018111037,Домофон,"Вопрос по дополнительным камерам, которых нет в нашей системе",,,0
19,2024-05-14 10:50:02,,,,,,nan,Домофон,"Проблемы с регистрацией (не вводится 0), предположительно на адресе установлен не домофон ""Спутник""",,,0
20,2024-05-14 10:50:50,Псевдооффлайн,,,,,2108119904,Домофон,,,,0
21,2024-05-14 10:51:07,,,,Оплата подписки,,2401155181,Домофон,,,,0
22,2024-05-14 10:51:23,,,,Семья/админ,,2125126589,Домофон,,,,0
23,2024-05-14 10:51:40,Оффлайн,,,,,1944105206,Домофон,,,,0
24,2024-05-14 10:52:48,Псевдооффлайн,,,,,2018115327,Домофон,,,,0
25,2024-05-14 10:53:13,,,,,Не приходят звонки на ТАП,1944104680,Домофон,Вопрос по оплате за домофон и уточнение лицевого счета,,,0
26,2024-05-14 10:53:24,,,,Оплата подписки,,2401155196,Домофон,,,,0
27,2024-05-14 10:54:06,,Прошивка камеры,,,,1944102121,Домофон,,,,0
28,2024-05-14 10:54:10,Псевдооффлайн,,,,,2125126486,Домофон,,,,0
29,2024-05-14 10:54:37,Псевдооффлайн,,,,,2012105334,Домофон,,,,0
30,2024-05-14 10:54:39,,Нет видео,,,,2012109121,Камера,,,,0
31,2024-05-14 10:54:51,,Нет видео,,,,1944105106,Камера,,,,0
32,2024-05-14 10:55:23,,,,,,2121125192,Домофон,Звук в режиме просмотра видео и архива,,,0
33,2024-05-14 10:55:42,Оффлайн,,,,,2236149785,Домофон,,,,0
34,2024-05-14 10:55:52,Оффлайн,,,,,2108117568,Домофон,,,,0
35,2024-05-14 10:56:25,,,,,,2121123692,Камера,"В приложении нет видео, с камеры видео передается",,,0
36,2024-05-14 10:56:38,Оффлайн,,,,,2108117568,Домофон,,,,0
37,2024-05-14 10:56:54,,,,,,2125129337,Камера,"В приложении нет видео, с камеры видео передается",,,0
38,2024-05-14 10:57:05,Оффлайн,,,,,2108118049,Домофон,,,,0
39,2024-05-14 10:57:20,,,,,,2121121305,Камера,"В приложении нет видео, с камеры видео передается",,,0
40,2024-05-14 10:57:33,,,,Оплата подписки,,2121125342,Домофон,,,,0
41,2024-05-14 10:57:50,,,,,,2101116045,Домофон,"В приложении нет видео, с камеры видео передается",,,0
42,2024-05-14 10:58:12,,,,,,1944104825,Домофон,Переключение между домофонами в приложении,,,0
43,2024-05-14 10:58:32,Оффлайн,,,Оплата подписки,,2108120392,Домофон,,,,0
44,2024-05-14 10:58:48,,,,,,2236149819,Камера,"В приложении нет видео, с камеры видео передается",,,0
45,2024-05-14 10:59:00,,,,Семья/админ,,2125128593,Домофон,,,,0
46,2024-05-14 10:59:15,Оффлайн,,,,,2018109990,Домофон,,,,0
47,2024-05-14 10:59:30,,,,,,1944103602,Камера,"В приложении нет видео, с камеры видео передается",,,0
48,2024-05-14 11:00:10,,,,,,2012105443,Камера,"В приложении нет видео, с камеры видео передается",,,0
49,2024-05-14 11:00:29,,,,,,2012105936,Домофон,Замена трубки в квартире,,,0
50,2024-05-14 11:00:44,Оффлайн,,,,,2235146181,Домофон,,,,0
51,2024-05-14 11:00:57,Оффлайн,,,,,2018111897,Домофон,,,,0
52,2024-05-14 11:01:08,Оффлайн,,,,,2352154593,Домофон,,,,0
53,2024-05-14 11:01:27,,,,,,2235148464,Камера,"В приложении нет видео, с камеры видео передается Переключение между домофонами в приложении",,,0
54,2024-05-14 11:01:41,,Нет видео,,,,2018111323,Камера,,,,0
55,2024-05-14 11:02:24,,,,,,2018111203,Домофон,"Слетела регистрация в приложении, предположительно удалил админ квартиры",,,0
56,2024-05-14 11:02:43,,,,,,2125127166,Камера,"В приложении нет видео, с камеры видео передается Переключение между домофонами в приложении",,,0
57,2024-05-14 11:03:52,,,,,,2121121548,Домофон,"Проблемы с регистрацией в приложении, диапазон квартир не соответствует действительности",,,0
58,2024-05-14 11:04:12,,,,,,2108119195,Камера,"В приложении нет видео, с камеры видео передается",,,0
59,2024-05-14 11:04:32,,,,,,1944103390,Камера,"В приложении нет видео, с камеры видео передается",,,0
60,2024-05-14 11:05:08,,Архивы (с подпунктами),,,,2330152897,Камера,Архив не подключен партнером,,,0
61,2024-05-14 11:05:09,,,,,,2329250291,Домофон,Хотел подключить видео домофон,,,1
62,2024-05-14 11:05:27,,,,,,2108120470,Домофон,Смена номера телефона в приложении,,,0
63,2024-05-14 11:05:37,Оффлайн,,,,,2012105468,Домофон,,,,0
64,2024-05-14 11:05:52,,,,,,2108117467,Камера,"В приложении нет видео, с камеры видео передается",,,0
65,2024-05-14 11:06:04,,,,Семья/админ,,1921100296,Домофон,,,,0
66,2024-05-14 11:06:49,Псевдооффлайн,,,,,2148133494,Домофон,,,,0
67,2024-05-14 11:07:00,,Нет видео,,,,1944103868,Камера,,,,0
68,2024-05-14 11:07:15,,,,,,1921100556,Камера,"В приложении нет видео, с камеры видео передается",,,0
69,2024-05-14 11:07:29,,,,,,2235144112,Камера,"В приложении нет видео, с камеры видео передается",,,0
70,2024-05-14 11:07:44,,,,Семья/админ,,2108117541,Домофон,,,,0
71,2024-05-14 11:07:53,Оффлайн,,,,,2235143213,Домофон,,,,0
72,2024-05-14 11:08:03,Оффлайн,,,,,2329250085,Домофон,,,,0
73,2024-05-14 11:08:24,Псевдооффлайн,,,,,2012107032,Домофон,,,,0
74,2024-05-14 11:08:40,Псевдооффлайн,,,,,2108118976,Домофон,,,,0
75,2024-05-14 11:08:55,Псевдооффлайн,,,,,2018113100,Домофон,,,,0
76,2024-05-14 11:09:12,Псевдооффлайн,,,,,2208135721,Домофон,,,,0
77,2024-05-14 11:09:28,Псевдооффлайн,,,,,2125129458,Домофон,,,,0
78,2024-05-14 11:09:52,,,,,,1944104538,Камера,В истории посещений не фиксируется посетитель,,,0
79,2024-05-14 11:10:29,,,,,,2101115942,Камера,Фото в истории посещений,,,0
80,2024-05-14 11:10:45,,,,,,2018115347,Домофон,Вопрос по оплате за домофон,,,0
81,2024-05-14 11:11:02,Псевдооффлайн,,,,,2108119845,Домофон,,,,0
82,2024-05-14 11:11:14,Оффлайн,,,,,2125126968,Домофон,,,,0
83,2024-05-14 11:11:35,,,,,,2208136510,Камера,"В приложении нет видео, с камеры видео передается",,,0
84,2024-05-14 11:11:46,,,,Оплата подписки,,2121123769,Домофон,,,,0
85,2024-05-14 11:11:57,Оффлайн,,,,,2121123595,Домофон,,,,0
86,2024-05-14 11:12:10,Оффлайн,,,,,2125128894,Домофон,,,,0
87,2024-05-14 11:12:26,,,,,,2235148761,Домофон,"Вопрос по дополнительным камерам, которых нет в нашей системе",,,0
88,2024-05-14 11:12:44,Псевдооффлайн,,,,,1944104168,Домофон,,,,0
89,2024-05-14 11:13:24,Оффлайн,,,,,2101116005,Домофон,,,,0
90,2024-05-14 11:13:53,,,,,,2125128165,Камера,"В приложении нет видео, с камеры видео передается",,,0
91,2024-05-14 11:14:13,,,,,,2148130932,Домофон,Вопрос по оплате за домофон,,,0
92,2024-05-14 11:14:30,,,,,,2208135149,Домофон,Код доступа,,,0
93,2024-05-14 11:14:46,,,,,,2012106673,Домофон,Распознавание по лицу,,,0
94,2024-05-14 11:15:04,Псевдооффлайн,,,,,2236150585,Домофон,,,,0
95,2024-05-14 11:15:22,,,,,,2018114653,Камера,"В приложении нет видео, с камеры видео передается",,,0
96,2024-05-14 11:15:34,,,,,,2018115145,Домофон,Проблемы с кнопкой выхода,,,0
97,2024-05-14 11:15:40,Оффлайн,,,,,2121125378,Домофон,,,,0
98,2024-05-14 11:15:56,Псевдооффлайн,,,,,2108119904,Домофон,,,,0
99,2024-05-14 11:16:12,,,,,,2121125134,Домофон,Звук в режиме просмотра видео и архива,,,0
100,2024-05-14 11:18:03,,,,,,2208133881,Домофон,Партнер отвязал панель от адреса и привязал за другим адресом. Пользователю нужно удалить аккаунт и пройти повторную регистрацию,,,0
101,2024-05-14 11:18:17,,Нет видео,,,,2236149964,Камера,,,,0
102,2024-05-14 11:18:34,Псевдооффлайн,,,,,1944103310,Домофон,,,,0
103,2024-05-14 11:18:51,,,,,,2108119657,Камера,Загрязнение на камере,,,0
104,2024-05-14 11:19:49,Оффлайн,,,,,2121123623,Домофон,Приобрести ключ,,,0
105,2024-05-14 11:20:02,,,,,,1944104574,Домофон,Вопрос по оплате за домофон,,,0
106,2024-05-14 11:20:17,,,,,,2148132785,Домофон,Приобрести ключ,,,0
107,2024-05-14 11:20:26,Оффлайн,,,,,2018114380,Домофон,,,,0
108,2024-05-14 11:20:43,Псевдооффлайн,,,,,2121120582,Домофон,,,,0
109,2024-05-14 11:20:59,Псевдооффлайн,,,,,2125127314,Домофон,,,,0
110,2024-05-14 11:21:10,,Нет видео,,,,1921100319,Камера,,,,0
111,2024-05-14 11:21:32,,Нет видео,,,,2108120050,Камера,+ Пробелы в архиве,,,0
112,2024-05-14 11:21:42,,,,Семья/админ,,2121123237,Домофон,,,,0
113,2024-05-14 11:21:54,Псевдооффлайн,,,,,2148129969,Домофон,,,,0
114,2024-05-14 11:22:01,,,,Прочие,,2108118836,Домофон,Второй адрес,,,0
115,2024-05-14 11:22:12,,,,,Замок не держит,2329250161,Домофон,,,,0
116,2024-05-14 11:22:30,,,,,,2018113964,Домофон,"Не работает кнопка ""колокольчик""",,,0
117,2024-05-14 11:22:54,Оффлайн,,,,,2401155679,Домофон,,,,0
118,2024-05-14 11:23:04,,,,Оплата подписки,,2235141875,Домофон,,,,0
119,2024-05-14 11:23:19,Псевдооффлайн,,,,,2018110359,Домофон,,,,0
120,2024-05-14 11:23:40,,,,,,2121125169,Камера,"В приложении нет видео, с камеры видео передается",,,0
121,2024-05-14 11:24:04,,Архивы (с подпунктами),,,,2235142652,Камера,Красная полоса вместо архива,,,0
122,2024-05-14 11:24:07,,,,,,2330152901,Домофон,Хотел просмотр внешних камер,,,0
123,2024-05-14 11:24:15,Оффлайн,,,,,2018113800,Домофон,,,,0
124,2024-05-14 11:24:54,,,,,,2121124880,Домофон,Домофонная трубка не открывает дверь,,,0
125,2024-05-14 11:25:05,Оффлайн,,,,,2018111461,Домофон,,,,0
126,2024-05-14 11:25:16,,Нет видео,,,,2235145689,Камера,,,,0
127,2024-05-14 11:25:31,Псевдооффлайн,,,,,2125129215,Домофон,,,,0
128,2024-05-14 11:25:53,,,,,,2018114866,Домофон,"В приложении нет видео, с камеры видео передается",,,0
129,2024-05-14 11:26:08,,,,,Замок не держит,2235142652,Домофон,,,,0
130,2024-05-14 11:26:19,,Нет видео,,,,1944103122,Камера,,,,0
131,2024-05-14 11:26:34,Псевдооффлайн,,,,,2121122151,Домофон,,,,0
132,2024-05-14 11:27:16,,Архивы (с подпунктами),,,,2125126705,Камера,Хотели получить архив за пределами глубины архива,,,0
133,2024-05-14 11:27:37,,,,Семья/админ,,2121122235,Домофон,,,,0
134,2024-05-14 11:27:55,,,,,,2018112308,Домофон,Вопрос по оплате за домофон,,,0
135,2024-05-14 11:28:11,Оффлайн,,,,,2330153409,Домофон,,,,0
136,2024-05-14 11:29:41,,,,,Проблемы с считывателем,1944103761,Домофон,"Не получается пройти регистрацию в приложении, когда подносят ключ к считывателю домофона в логах невалидный ключ, когда считывателю подносят, то в логах как открытие через кнопку",,,0
137,2024-05-14 11:29:51,Оффлайн,,,,,2235145835,Домофон,,,,0
